business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category,Neighborhoods (old),Police Districts,Supervisor Districts,Fire Prevention Districts,Zip Codes,Analysis Neighborhoods
86555,Cumaica Cofee,1398 Mission St,San Francisco,CA,94103,,,,+14155859300,86555_20161107,2016-11-07T00:00:00.000,79,Routine - Unscheduled,86555_20161107_103133,Foods not protected from contamination,Moderate Risk,,,,,,
62777,California Shell,2501 CALIFORNIA ST,San Francisco,CA,94115,37.788652,-122.435527,"{'type': 'Point', 'coordinates': [-122.435527, 37.788652]}",,62777_20181024,2018-10-24T00:00:00.000,90,Routine - Unscheduled,62777_20181024_103139,Improper food storage,Low Risk,27,9,1,13,29490,30
92029,Jin Pot,5158 Geary Blvd,San Francisco,CA,94118,,,,+14155374539,92029_20180509,2018-05-09T00:00:00.000,88,Routine - Unscheduled,92029_20180509_103145,Improper storage of equipment utensils or linens,Low Risk,,,,,,
4072,Hustler Club,1031 kearny St,San Francisco,CA,94133,37.797545,-122.405455,"{'type': 'Point', 'coordinates': [-122.405455, 37.797545]}",,4072_20170707,2017-07-07T00:00:00.000,,Complaint,4072_20170707_103120,Moderate risk food holding temperature,Moderate Risk,23,1,10,3,308,23
4828,SAY CHEESE,856 COLE St,San Francisco,CA,94117,37.766017,-122.449976,"{'type': 'Point', 'coordinates': [-122.449976, 37.766017]}",+14155665020,4828_20190612,2019-06-12T00:00:00.000,94,Routine - Unscheduled,4828_20190612_103161,Low risk vermin infestation,Low Risk,9,5,11,15,29492,3
38797,Dosa on Fillmore,1700 Fillmore St,San Francisco,CA,94115,37.785317,-122.433076,"{'type': 'Point', 'coordinates': [-122.433076, 37.785317]}",,38797_20190625,2019-06-25T00:00:00.000,92,Routine - Unscheduled,38797_20190625_103153,Inadequate dressing rooms or improper storage of personal items,Low Risk,13,9,11,13,29490,15
26340,VIP Coffee & Cake Shop,671 Broadway St,San Francisco,CA,94133,37.797704,-122.408058,"{'type': 'Point', 'coordinates': [-122.408058, 37.797704]}",,26340_20170424,2017-04-24T00:00:00.000,75,Routine - Unscheduled,26340_20170424_103105,Improper cooling methods,High Risk,4,1,10,3,308,6
984,VANIDA THAI KITCHEN,3050 TARAVAL St,San Francisco,CA,94116,37.742086,-122.498738,"{'type': 'Point', 'coordinates': [-122.498738, 37.742086]}",,984_20170726,2017-07-26T00:00:00.000,65,Routine - Unscheduled,984_20170726_103109,Unclean or unsanitary food contact surfaces,High Risk,35,8,3,1,29491,35
93815,Little Heaven Deli,2348 Mission Street,San Francisco,CA,94110,,,,,93815_20190701,2019-07-01T00:00:00.000,91,Routine - Unscheduled,93815_20190701_103109,Unclean or unsanitary food contact surfaces,High Risk,,,,,,
99738,GOLDEN STATE PIZZA AND GRILL,2414 San Bruno Ave,San Francisco,CA,94134,,,,+14155811770,99738_20190822,2019-08-22T00:00:00.000,92,Routine - Unscheduled,99738_20190822_103118,Employee eating or smoking,Moderate Risk,,,,,,
68454,Kippu Japanese Restaurant,1707 BUCHANAN St,San Francisco,CA,94115,37.785639,-122.429841,"{'type': 'Point', 'coordinates': [-122.429841, 37.785639]}",,68454_20190128,2019-01-28T00:00:00.000,78,Routine - Unscheduled,68454_20190128_103114,High risk vermin infestation,High Risk,13,9,11,13,29490,15
83424,Bund Shanghai Restaurant,640 Jackson St,San Francisco,CA,94133,,,,+14155980618,83424_20181217,2018-12-17T00:00:00.000,87,Routine - Unscheduled,83424_20181217_103144,Unapproved or unmaintained equipment or utensils,Low Risk,,,,,,
